ISBN-10,Title of the Book,Author/s,Book type,Original Price (RRP),Discounted price,Published Date,Publisher,No. of Pages,Product URL
9.78077E+12,The Dark Forest,Cixin Liu; Joel Martinsen,Hardcover,$51.9,$51.9,11-08-2015,Tor Books,512,https://www.booktopia.com.au/the-dark-forest-cixin-liu/book/9780765377081.html
9.78014E+12,Giovanni's Room,James Baldwin; Caryl Phillips,ePUB,$15.99,$15.99,04-10-2001,Penguin Books Ltd,176,https://www.booktopia.com.au/giovanni-s-room-james-baldwin/ebook/9780141903989.html
9.78131E+12,Book Not Found,,,,,,,,
9.78014E+12,Book Not Found,,,,,,,,
9.78141E+12,A Mistletoe Kiss,Katie Flynn,ePUB,$15.99,$15.99,05-08-2010,Random House,448,https://www.booktopia.com.au/a-mistletoe-kiss-katie-flynn/ebook/9781407070742.html
9.78014E+12,Book Not Found,,,,,,,,
9.78014E+12,Hornblower and the Crisis,C.S. Forester,ePUB,$15.99,$15.99,05-10-2006,Penguin Books Ltd,176,https://www.booktopia.com.au/hornblower-and-the-crisis-c-s-forester/ebook/9780141928982.html
9.78014E+12,Stalingrad,Antony Beevor,ePUB,$15.99,$15.99,04-10-2007,Penguin Books Ltd,512,https://www.booktopia.com.au/stalingrad-antony-beevor/ebook/9780141926100.html
9.78141E+12,Interesting Times,Terry Pratchett,ePUB,$14.99,$14.99,05-12-2008,Transworld,432,https://www.booktopia.com.au/interesting-times-terry-pratchett/ebook/9781407034966.html
9.78014E+12,The Diary of a Nobody,George Grossmith; Weedon Grossmith; Weedon Grossmith; Ed Glinert; Ed Glinert,ePUB,$10.99,$10.99,01-01-2000,Penguin Books Ltd,256,https://www.booktopia.com.au/the-diary-of-a-nobody-george-grossmith/ebook/9780141905693.html
9.78125E+12,Permafrost,Alastair Reynolds,ePUB,$6.22,$5.99,19-03-2019,Tor Publishing Group,,https://www.booktopia.com.au/permafrost-alastair-reynolds/ebook/9781250303554.html
9.78141E+12,The Woman Who Walked into the Sea,Mark Douglas-Home,ePUB,$15.99,$15.99,14-01-2016,Penguin Books Ltd,336,https://www.booktopia.com.au/the-woman-who-walked-into-the-sea-mark-douglas-home/ebook/9781405923590.html
9.78141E+12,Kitchen Confidential,Anthony Bourdain,ePUB,$19.99,$17.99,20-12-2010,Bloomsbury Publishing,336,https://www.booktopia.com.au/kitchen-confidential-anthony-bourdain/ebook/9781408820858.html
9.78046E+12,Bless Her Dead Heart,Meg Collett,ePUB,$1.39,$1.39,24-07-2019,Meg Collett,,https://www.booktopia.com.au/bless-her-dead-heart-meg-collett/ebook/9780463208823.html
9.78075E+12,The Enemy,Tom Wood,ePUB,$16.99,$16.99,13-03-2012,"Little, Brown Book Group",400,https://www.booktopia.com.au/the-enemy-tom-wood/ebook/9780748122868.html
9.78014E+12,A Wrinkle in Time,Madeleine L'Engle,ePUB,$9.99,$9.99,01-11-2007,Penguin Random House Children's UK,208,https://www.booktopia.com.au/a-wrinkle-in-time-madeleine-l-engle/ebook/9780141929569.html
9.78057E+12,The Legend of Podkin One-Ear,Kieran Larwood; David Wyatt,ePUB,$10.99,$9.99,04-10-2016,Faber & Faber,288,https://www.booktopia.com.au/the-legend-of-podkin-one-ear-kieran-larwood/ebook/9780571328277.html
9.78014E+12,Book Not Found,,,,,,,,
9.78014E+12,A Spell of Winter,Helen Dunmore,ePUB,$15.99,$15.99,25-10-2007,Penguin Books Ltd,320,https://www.booktopia.com.au/a-spell-of-winter-helen-dunmore/ebook/9780141933412.html
9.78039E+12,Book Not Found,,,,,,,,
9.78141E+12,Guards! Guards!,Terry Pratchett,ePUB,$14.99,$14.99,16-12-2008,Transworld,432,https://www.booktopia.com.au/guards-guards--terry-pratchett/ebook/9781407034690.html
9.78024E+12,Smiley's People,John le Carr?,ePUB,$15.99,$15.99,27-09-2018,Penguin Books Ltd,464,https://www.booktopia.com.au/smiley-s-people-john-le-carr-/ebook/9780241322536.html
9.78014E+12,Jolly Foul Play,Robin Stevens,ePUB,$9.99,$9.99,24-03-2016,Penguin Random House Children's UK,336,https://www.booktopia.com.au/jolly-foul-play-robin-stevens/ebook/9780141369709.html
9.78086E+12,One by One,Chris Carter,ePUB,$16.99,$16.99,15-08-2013,Simon & Schuster UK,512,https://www.booktopia.com.au/one-by-one-chris-carter/ebook/9780857203090.html
9.78076E+12,The Complete Book of Chalk Lettering,Valerie McKeehan,ePUB,$23.99,$23.99,06-10-2015,Workman Publishing Company,144,https://www.booktopia.com.au/the-complete-book-of-chalk-lettering-valerie-mckeehan/ebook/9780761187042.html
9.78141E+12,Cross and Burn,Val McDermid,ePUB,$11.99,$11.99,10-10-2013,"Little, Brown Book Group",448,https://www.booktopia.com.au/cross-and-burn-val-mcdermid/ebook/9781405523127.html
9.78141E+12,"Ask Again, Yes",Mary Beth Keane,ePUB,$15.99,$15.99,08-08-2019,Penguin Books Ltd,400,https://www.booktopia.com.au/ask-again-yes-mary-beth-keane/ebook/9781405943147.html
9.78083E+12,Book Not Found,,,,,,,,
9.78031E+12,Book Not Found,,,,,,,,
9.78141E+12,Lustrum,Robert Harris,ePUB,$15.99,$15.99,07-09-2010,Random House,464,https://www.booktopia.com.au/lustrum-robert-harris/ebook/9781409021315.html
9.78075E+12,What's Tha Up To?,Martyn Johnson,ePUB,$12.99,$12.99,15-09-2011,"Little, Brown Book Group",192,https://www.booktopia.com.au/what-s-tha-up-to--martyn-johnson/ebook/9780748129027.html
9.78014E+12,Me Before You,Jojo Moyes,ePUB,$15.99,$15.99,02-01-2012,Penguin Books Ltd,528,https://www.booktopia.com.au/me-before-you-jojo-moyes/ebook/9780141969183.html
9.78075E+12,The No. 1 Ladies' Detective Agency,Alexander McCall Smith,ePUB,$11.99,$11.99,02-10-2008,"Little, Brown Book Group",256,https://www.booktopia.com.au/the-no-1-ladies-detective-agency-alexander-mccall-smith/ebook/9780748110612.html
9.78023E+12,Book Not Found,,,,,,,,
9.7807E+12,Book Not Found,,,,,,,,
9.78075E+12,Princeps' Fury,Jim Butcher,ePUB,$11.99,$11.99,03-12-2009,"Little, Brown Book Group",512,https://www.booktopia.com.au/princeps-fury-jim-butcher/ebook/9780748112883.html
9.78131E+12,Pathfinder's Way,T.A. White,ePUB,$4.15,$4.15,20-04-2016,T.A. White,,https://www.booktopia.com.au/pathfinder-s-way-t-a-white/ebook/9781310928338.html
9.78077E+12,Book Not Found,,,,,,,,
9.78099E+12,Book Not Found,,,,,,,,
9.78074E+12,The Great Gatsby,F. Scott Fitzgerald,Paperback,$29.95,$29.95,01-10-2004,SCRIBNER BOOKS CO             ,180,https://www.booktopia.com.au/the-great-gatsby-f-scott-fitzgerald/book/9780743273565.html
9.78006E+12,Book Not Found,,,,,,,,
9.78006E+12,Barbarians at the Gate,Bryan Burrough; John Helyar,ePUB,$6.99,$6.99,13-10-2009,HarperCollins,624,https://www.booktopia.com.au/barbarians-at-the-gate-bryan-burrough/ebook/9780061804038.html
9.78141E+12,Bones to Ashes,Kathy Reichs,ePUB,$15.99,$15.99,27-04-2010,Random House,464,https://www.booktopia.com.au/bones-to-ashes-kathy-reichs/ebook/9781407070049.html
9.78055E+12,The Giver,Lois Lowry,ePUB,$5.99,$5.99,01-01-2000,HarperCollins,192,https://www.booktopia.com.au/the-giver-lois-lowry/ebook/9780547345901.html
9.78128E+12,Book Not Found,,,,,,,,
9.78133E+12,Book Not Found,,,,,,,,
9.78024E+12,Bad Behavior,Mary Gaitskill,ePUB,$15.99,$15.99,02-05-2019,Penguin Books Ltd,208,https://www.booktopia.com.au/bad-behavior-mary-gaitskill/ebook/9780241383117.html
9.78045E+12,4th of July,James Patterson; Maxine Paetro,Paperback,$36.25,$36.25,01-07-2008,GRAND CENTRAL PUBL            ,400,https://www.booktopia.com.au/4th-of-july-james-patterson/book/9780446179669.html
9.78139E+12,Book Not Found,,,,,,,,
9.78006E+12,Book Not Found,,,,,,,,
9.78035E+12,Air Bound,Christine Feehan,ePUB,$7.99,$7.99,27-05-2014,"Little, Brown Book Group",400,https://www.booktopia.com.au/air-bound-christine-feehan/ebook/9780349401874.html
9.78023E+12,Book Not Found,,,,,,,,
9.78024E+12,The Man Who Saw Everything,Deborah Levy,ePUB,$15.99,$15.99,29-08-2019,Penguin Books Ltd,208,https://www.booktopia.com.au/the-man-who-saw-everything-deborah-levy/ebook/9780241977613.html
9.78024E+12,The Last,Hanna Jameson,ePUB,$15.99,$15.99,24-01-2019,Penguin Books Ltd,352,https://www.booktopia.com.au/the-last-hanna-jameson/ebook/9780241984000.html
9.78076E+12,2nd Chance,James Patterson; Andrew Gross,ePUB,$12.99,$12.99,23-06-2011,Headline,340,https://www.booktopia.com.au/2nd-chance-james-patterson/ebook/9780755387069.html
9.78076E+12,The Misfit,Rosie Goodwin,ePUB,$11.99,$11.99,10-05-2012,Headline,313,https://www.booktopia.com.au/the-misfit-rosie-goodwin/ebook/9780755385744.html
9.7811E+12,The Bride,Julie Garwood,ePUB,$17.14,$13.99,07-06-2011,Penguin Publishing Group,1,https://www.booktopia.com.au/the-bride-julie-garwood/ebook/9781101533116.html
9.78001E+12,"Dead Beat (PI Kate Brannigan, Book 1)",Val McDermid,ePUB,$12.99,$12.99,22-05-2009,HarperCollins Publishers,288,https://www.booktopia.com.au/dead-beat-pi-kate-brannigan-book-1--val-mcdermid/ebook/9780007327645.html
9.78065E+12,Demon's Dance,Keri Arthur,ePUB,$6.99,$6.99,12-02-2019,KA Publishing PTY LTD,,https://www.booktopia.com.au/demon-s-dance-keri-arthur/ebook/9780648324652.html
9.78023E+12,Book Not Found,,,,,,,,
9.78151E+12,Book Not Found,,,,,,,,
9.78014E+12,Mrs Dalloway,Virginia Woolf; Stella McNichol; Elaine Showalter,ePUB,$10.99,$10.99,25-05-2000,Penguin Books Ltd,288,https://www.booktopia.com.au/mrs-dalloway-virginia-woolf/ebook/9780141904108.html
9.78014E+12,The End,Ian Kershaw,ePUB,$16.99,$16.99,25-08-2011,Penguin Books Ltd,592,https://www.booktopia.com.au/the-end-ian-kershaw/ebook/9780141957074.html
9.78141E+12,The Casual Vacancy,J.K. Rowling,ePUB,$12.99,$12.99,27-09-2012,"Little, Brown Book Group",480,https://www.booktopia.com.au/the-casual-vacancy-j-k-rowling/ebook/9781405519229.html
9.78023E+12,Book Not Found,,,,,,,,
9.78036E+12,Cold Days,Jim Butcher,Paperback,$20.4,$20.4,10-09-2013,Little Brown,646,https://www.booktopia.com.au/cold-days-jim-butcher/book/9780356500959.html
9.78075E+12,Shutter Island,Dennis Lehane,ePUB,$11.99,$11.99,21-10-2010,"Little, Brown Book Group",304,https://www.booktopia.com.au/shutter-island-dennis-lehane/ebook/9780748124800.html
9.78076E+12,Whatever It Takes,Adele Parks,ePUB,$12.99,$12.99,21-06-2012,Headline,377,https://www.booktopia.com.au/whatever-it-takes-adele-parks/ebook/9780755371365.html
9.78001E+12,Sharpe's Gold,Bernard Cornwell,ePUB,$12.99,$12.99,24-07-2009,HarperCollins Publishers,304,https://www.booktopia.com.au/sharpe-s-gold-bernard-cornwell/ebook/9780007338672.html
9.78014E+12,The Ship,C.S. Forester,ePUB,$15.99,$15.99,05-10-2006,Penguin Books Ltd,256,https://www.booktopia.com.au/the-ship-c-s-forester/ebook/9780141959238.html
9.78076E+12,Silent Scream (The Minneapolis Series Book 2),Karen Rose,ePUB,$11.99,$11.99,13-05-2010,Headline,544,https://www.booktopia.com.au/silent-scream-the-minneapolis-series-book-2--karen-rose/ebook/9780755373260.html
9.7813E+12,Afghan Heat,Steve Stone,ePUB,$5.18,$5.18,02-02-2016,Digital Dreams Publishing,,https://www.booktopia.com.au/afghan-heat-steve-stone/ebook/9781301917099.html
9.78069E+12,Book Not Found,,,,,,,,
9.78076E+12,The Book of Life,Deborah Harkness,ePUB,$12.99,$12.99,15-07-2014,Headline,592,https://www.booktopia.com.au/the-book-of-life-deborah-harkness/ebook/9780755384808.html
9.78141E+12,Dark Watch,Clive Cussler; Jack du Brul,ePUB,$14.99,$14.99,05-07-2012,Penguin Books Ltd,496,https://www.booktopia.com.au/dark-watch-clive-cussler/ebook/9781405909914.html
9.78057E+12,Grief Is the Thing with Feathers,Max Porter,ePUB,$14.29,$12.99,15-09-2015,Faber & Faber,96,https://www.booktopia.com.au/grief-is-the-thing-with-feathers-max-porter/ebook/9780571323777.html
9.78076E+12,Keep Your Brain Alive,Lawrence Katz; Manning Rubin,Paperback,$20.25,$20.25,02-06-2014,Workman,204,https://www.booktopia.com.au/keep-your-brain-alive-lawrence-katz/book/9780761168935.html
9.78125E+12,Silver in the Wood,Emily Tesh,ePUB,$6.22,$5.99,18-06-2019,Tor Publishing Group,,https://www.booktopia.com.au/silver-in-the-wood-emily-tesh/ebook/9781250229786.html
9.78031E+12,Book Not Found,,,,,,,,
9.78024E+12,A Short History of Brexit,Kevin O'Rourke,ePUB,$15.99,$15.99,31-01-2019,Penguin Books Ltd,320,https://www.booktopia.com.au/a-short-history-of-brexit-kevin-o-rourke/ebook/9780241398333.html
9.78001E+12,Wedding Tiers,Trisha Ashley,ePUB,$8.99,$8.99,29-05-2009,HarperCollins Publishers,416,https://www.booktopia.com.au/wedding-tiers-trisha-ashley/ebook/9780007329052.html
9.78024E+12,Absolute Friends,John le Carr?,ePUB,$15.99,$15.99,27-09-2018,Penguin Books Ltd,464,https://www.booktopia.com.au/absolute-friends-john-le-carr-/ebook/9780241321942.html
9.78058E+12,Blood of Elves,Andrzej Sapkowski; Danusia Stok,ePUB,$12.99,$12.99,19-08-2010,Orion,320,https://www.booktopia.com.au/blood-of-elves-andrzej-sapkowski/ebook/9780575087491.html
9.78141E+12,Promise of Blood,Brian McClellan,ePUB,$11.99,$11.99,16-04-2013,"Little, Brown Book Group",608,https://www.booktopia.com.au/promise-of-blood-brian-mcclellan/ebook/9781405519946.html
9.78065E+12,Book Not Found,,,,,,,,
9.78014E+12,A Dark-Adapted Eye,Barbara Vine,ePUB,$15.99,$15.99,07-05-2009,Penguin Books Ltd,304,https://www.booktopia.com.au/a-dark-adapted-eye-barbara-vine/ebook/9780141938264.html
9.78032E+12,Book Not Found,,,,,,,,
9.78014E+12,Making Sense of the Troubles,David McKittrick; David McVea,ePUB,$18.99,$18.99,29-11-2001,Penguin Books Ltd,416,https://www.booktopia.com.au/making-sense-of-the-troubles-david-mckittrick/ebook/9780141952000.html
9.78131E+12,Book Not Found,,,,,,,,
9.78141E+12,Ambush,Geraint Jones,ePUB,$15.99,$15.99,12-12-2019,Penguin Books Ltd,400,https://www.booktopia.com.au/ambush-geraint-jones/ebook/9781405944038.html
9.78058E+12,Dune: The Gateway Collection,Frank Herbert,ePUB,$59.99,$59.99,30-11-2012,Orion,800,https://www.booktopia.com.au/dune-the-gateway-collection-frank-herbert/ebook/9780575122796.html
9.78075E+12,Never Somewhere Else,Alex Gray,ePUB,$12.99,$12.99,31-10-2013,"Little, Brown Book Group",320,https://www.booktopia.com.au/never-somewhere-else-alex-gray/ebook/9780751555752.html
9.78036E+12,Sins of Empire,Brian McClellan,ePUB,$12.99,$12.99,07-03-2017,"Little, Brown Book Group",640,https://www.booktopia.com.au/sins-of-empire-brian-mcclellan/ebook/9780356509303.html
9.78054E+12,Curious George Haunted Halloween,H. A. Rey,ePUB,$2.99,$2.99,17-06-2014,HarperCollins,24,https://www.booktopia.com.au/curious-george-haunted-halloween-h-a-rey/ebook/9780544465619.html
9.78024E+12,Don't Be Evil,Rana Foroohar,ePUB,$16.99,$16.99,07-11-2019,Penguin Books Ltd,256,https://www.booktopia.com.au/don-t-be-evil-rana-foroohar/ebook/9780241404300.html
9.78075E+12,Book Not Found,,,,,,,,
9.78055E+12,The Goodnight Train,June Sobel; Laura Huliska-Beith,ePUB,$11.99,$11.99,01-09-2006,HarperCollins,32,https://www.booktopia.com.au/the-goodnight-train-june-sobel/ebook/9780547769332.html
9.78139E+12,Bullied,Vera Hollins,ePUB,$4.29,$4.29,27-08-2019,?Vera Hollins,,https://www.booktopia.com.au/bullied-vera-hollins/ebook/9781393148548.html
9.78024E+12,Survivor,Lesley Pearse,ePUB,$15.99,$15.99,13-02-2014,Penguin Books Ltd,544,https://www.booktopia.com.au/survivor-lesley-pearse/ebook/9780241961544.html
9.78057E+12,Milkman,Anna Burns,ePUB,$16.49,$14.99,15-05-2018,Faber & Faber,352,https://www.booktopia.com.au/milkman-anna-burns/ebook/9780571338764.html
9.78014E+12,The Rotters' Club,Jonathan Coe,ePUB,$15.99,$15.99,28-05-2008,Penguin Books Ltd,416,https://www.booktopia.com.au/the-rotters-club-jonathan-coe/ebook/9780141910048.html
9.78184E+12,Surface Detail,Iain M Banks,Paperback,$22.99,$20.35,31-05-2011,Little Brown,640,https://www.booktopia.com.au/surface-detail-iain-m-banks/book/9781841498959.html
9.78024E+12,Lessons in Stoicism,John Sellars,ePUB,$14.99,$14.99,05-09-2019,Penguin Books Ltd,96,https://www.booktopia.com.au/lessons-in-stoicism-john-sellars/ebook/9780241382929.html
9.78024E+12,Middle England,Jonathan Coe,ePUB,$15.99,$15.99,08-11-2018,Penguin Books Ltd,368,https://www.booktopia.com.au/middle-england-jonathan-coe/ebook/9780241981320.html
9.78024E+12,The Little Book of Hygge,Meik Wiking,ePUB,$15.99,$15.99,01-09-2016,Penguin Books Ltd,288,https://www.booktopia.com.au/the-little-book-of-hygge-meik-wiking/ebook/9780241283936.html
9.78014E+12,Call for the Dead,John le Carr?,ePUB,$15.99,$15.99,03-11-2011,Penguin Books Ltd,160,https://www.booktopia.com.au/call-for-the-dead-john-le-carr-/ebook/9780141972244.html
9.78023E+12,Book Not Found,,,,,,,,
9.7811E+12,Book Not Found,,,,,,,,
9.78075E+12,Abaddon's Gate,James S. A. Corey,ePUB,$12.99,$12.99,04-06-2013,"Little, Brown Book Group",560,https://www.booktopia.com.au/abaddon-s-gate-james-s-a-corey/ebook/9780748122981.html
9.78014E+12,The Girl You Left Behind,Jojo Moyes,ePUB,$15.99,$15.99,27-09-2012,Penguin Books Ltd,544,https://www.booktopia.com.au/the-girl-you-left-behind-jojo-moyes/ebook/9780141969190.html
9.78023E+12,Book Not Found,,,,,,,,
9.78075E+12,The Volunteer,Jack Fairweather,ePUB,$18.99,$18.99,27-06-2019,Ebury Publishing,528,https://www.booktopia.com.au/the-volunteer-jack-fairweather/ebook/9780753545195.html
9.78033E+12,Book Not Found,,,,,,,,
9.78086E+12,How to Win Friends and Influence People in the Digital Age,Dale Carnegie Training,ePUB,$12.99,$12.99,29-09-2011,Simon & Schuster UK,272,https://www.booktopia.com.au/how-to-win-friends-and-influence-people-in-the-digital-age-dale-carnegie-training/ebook/9780857207296.html
9.78031E+12,Book Not Found,,,,,,,,
9.78014E+12,Katy,Jacqueline Wilson,ePUB,$9.99,$9.99,30-07-2015,Penguin Random House Children's UK,320,https://www.booktopia.com.au/katy-jacqueline-wilson/ebook/9780141353975.html
9.78023E+12,Book Not Found,,,,,,,,
9.78086E+12,False God of Rome,Robert Fabbri,ePUB,$7.49,$6.99,01-01-2013,Corvus,300,https://www.booktopia.com.au/false-god-of-rome-robert-fabbri/ebook/9780857899767.html
9.78141E+12,Wish You Were Here,Catherine Alliott,ePUB,$15.99,$15.99,26-02-2015,Penguin Books Ltd,416,https://www.booktopia.com.au/wish-you-were-here-catherine-alliott/ebook/9781405917902.html
9.78133E+12,Book Not Found,,,,,,,,
9.78014E+12,The Spy Who Came in from the Cold,John le Carr?; William Boyd,ePUB,$15.99,$15.99,24-02-2011,Penguin Books Ltd,272,https://www.booktopia.com.au/the-spy-who-came-in-from-the-cold-john-le-carr-/ebook/9780141963624.html
9.78057E+12,I Am Dynamite!,Sue Prideaux,ePUB,$16.49,$14.99,02-10-2018,Faber & Faber,416,https://www.booktopia.com.au/i-am-dynamite--sue-prideaux/ebook/9780571336234.html
9.78014E+12,The Blank Slate,Steven Pinker,ePUB,$18.99,$18.99,05-06-2003,Penguin Books Ltd,528,https://www.booktopia.com.au/the-blank-slate-steven-pinker/ebook/9780141925912.html
9.78014E+12,Book Not Found,,,,,,,,
9.78032E+12,Billion Dollar Whale,Tom Wright; Bradley Hope,ePUB,$23.99,$23.99,18-09-2018,Hachette Books,400,https://www.booktopia.com.au/billion-dollar-whale-tom-wright/ebook/9780316436489.html
9.78141E+12,The Penguin Lessons,Tom Michell,ePUB,$14.99,$14.99,05-11-2015,Penguin Books Ltd,288,https://www.booktopia.com.au/the-penguin-lessons-tom-michell/ebook/9781405921824.html
9.78075E+12,The Secret Diaries Of Miss Anne Lister: Vol. 1,Anne Lister; Helena Whitbread,ePUB,$12.99,$12.99,04-11-2010,"Little, Brown Book Group",384,https://www.booktopia.com.au/the-secret-diaries-of-miss-anne-lister-vol-1-anne-lister/ebook/9780748125715.html
9.78013E+12,Book Not Found,,,,,,,,
9.78024E+12,The Value of Everything,Mariana Mazzucato,ePUB,$15.99,$15.99,26-04-2018,Penguin Books Ltd,256,https://www.booktopia.com.au/the-value-of-everything-mariana-mazzucato/ebook/9780241188828.html
9.78137E+12,Endgame,Chloe Walsh,ePUB,$7.59,$7.59,23-03-2023,Chloe Walsh,,https://www.booktopia.com.au/endgame-chloe-walsh/ebook/9781370239290.html
9.78141E+12,Christmas with the Bomb Girls,Daisy Styles,ePUB,$15.99,$15.99,19-10-2017,Penguin Books Ltd,400,https://www.booktopia.com.au/christmas-with-the-bomb-girls-daisy-styles/ebook/9781405929813.html
9.7813E+12,Auschwitz Escape,Danny Naten,ePUB,$4.18,$4.18,11-05-2015,Danny Naten,,https://www.booktopia.com.au/auschwitz-escape-danny-naten/ebook/9781301652815.html
9.78081E+12,Reinvention,Brian Tracy,ePUB,$2.99,$2.99,30-01-2009,AMACOM,224,https://www.booktopia.com.au/reinvention-brian-tracy/ebook/9780814413470.html
9.7811E+12,Book Not Found,,,,,,,,
9.7803E+12,Heaven And Hell,Don Felder,ePUB,$17.99,$17.99,18-09-2008,Orion,352,https://www.booktopia.com.au/heaven-and-hell-don-felder/ebook/9780297857020.html
9.78131E+12,Book Not Found,,,,,,,,
9.7811E+12,Book Not Found,,,,,,,,
9.78054E+12,Book Not Found,,,,,,,,
9.78001E+12,Child of the Phoenix,Barbara Erskine,ePUB,$10.99,$10.99,13-03-2009,HarperCollins Publishers,944,https://www.booktopia.com.au/child-of-the-phoenix-barbara-erskine/ebook/9780007320936.html
9.78023E+12,Book Not Found,,,,,,,,
9.78039E+12,Night Shift,Stephen King,ePUB,$16.12,$12.99,24-06-2008,Knopf Doubleday Publishing Group,,https://www.booktopia.com.au/night-shift-stephen-king/ebook/9780385528849.html
9.78094E+12,The Naked Warrior,Pavel Tsatsouline,ePUB,$14.66,$13.99,01-12-2003,Dragon Door Publications,218,https://www.booktopia.com.au/the-naked-warrior-pavel-tsatsouline/ebook/9780938045878.html
9.78141E+12,Out Of The Sun,Robert Goddard,ePUB,$14.99,$14.99,30-03-2010,Transworld,432,https://www.booktopia.com.au/out-of-the-sun-robert-goddard/ebook/9781407068305.html
9.78023E+12,Book Not Found,,,,,,,,
9.78031E+12,Book Not Found,,,,,,,,
9.78054E+12,The Fully Raw Diet,Kristina Carrillo-Bucaram,ePUB,$34.99,$34.99,05-01-2016,HarperCollins,272,https://www.booktopia.com.au/the-fully-raw-diet-kristina-carrillo-bucaram/ebook/9780544562363.html
9.78032E+12,Book Not Found,,,,,,,,
9.78024E+12,State of the Union,Nick Hornby,ePUB,$15.99,$15.99,07-05-2019,Penguin Books Ltd,140,https://www.booktopia.com.au/state-of-the-union-nick-hornby/ebook/9780241987803.html
9.78014E+12,The Far Pavilions,M M Kaye,ePUB,$15.99,$15.99,01-01-2000,Penguin Books Ltd,960,https://www.booktopia.com.au/the-far-pavilions-m-m-kaye/ebook/9780141927138.html
9.78076E+12,The Blood Crows,Simon Scarrow,ePUB,$11.99,$11.99,24-10-2013,Headline,448,https://www.booktopia.com.au/the-blood-crows-simon-scarrow/ebook/9780755357222.html
9.78094E+12,The Tibetan Book of the Dead,Karma-glin-pa (Karma Lingpa),ePUB,$4.39,$4.39,13-09-2010,Summum,,https://www.booktopia.com.au/the-tibetan-book-of-the-dead-karma-glin-pa-karma-lingpa-/ebook/9780943217123.html
9.78006E+12,Book Not Found,,,,,,,,
9.7813E+12,Book Not Found,,,,,,,,
9.78072E+12,The Curry Secret,Kris Dhillon,ePUB,$6.99,$6.99,09-10-2009,"Little, Brown Book Group",160,https://www.booktopia.com.au/the-curry-secret-kris-dhillon/ebook/9780716022527.html
9.78072E+12,Trust No One,Anthony Mosawi,ePUB,$15.99,$15.99,01-06-2018,Penguin Books Ltd,400,https://www.booktopia.com.au/trust-no-one-anthony-mosawi/ebook/9780718186395.html
9.78014E+12,Book Not Found,,,,,,,,
9.78058E+12,Steelheart,Brandon Sanderson,ePUB,$11.99,$11.99,26-09-2013,Orion,400,https://www.booktopia.com.au/steelheart-brandon-sanderson/ebook/9780575104181.html
9.78076E+12,A Liverpool Legacy,Anne Baker,ePUB,$11.99,$11.99,21-11-2013,Headline,384,https://www.booktopia.com.au/a-liverpool-legacy-anne-baker/ebook/9780755399611.html
9.78014E+12,A Load of Old Tripe,Gervase Phinn,ePUB,$14.99,$14.99,05-11-2009,Penguin Books Ltd,144,https://www.booktopia.com.au/a-load-of-old-tripe-gervase-phinn/ebook/9780141930961.html
9.78014E+12,East of Eden,John Steinbeck,Paperback,$22.99,$20.4,01-10-2003,Penguin UK,640,https://www.booktopia.com.au/east-of-eden-john-steinbeck/book/9780141185071.html
9.78075E+12,Black Notice,Patricia Cornwell,ePUB,$11.99,$11.99,04-09-2008,"Little, Brown Book Group",480,https://www.booktopia.com.au/black-notice-patricia-cornwell/ebook/9780748109258.html
9.7807E+12,A Grave Matter,Anna Lee Huber,ePUB,$13.7,$11.99,01-07-2014,Penguin Publishing Group,1,https://www.booktopia.com.au/a-grave-matter-anna-lee-huber/ebook/9780698140325.html
9.78112E+12,Value Proposition Design,,PDF,$41.79,$41.79,20-10-2014,Wiley Professional Development (P&T),0,https://www.booktopia.com.au/value-proposition-design/ebook/9781118968079.html
9.78024E+12,Book Not Found,,,,,,,,
9.78075E+12,The Ancient Secret of the Fountain of Youth,Peter Kelder,ePUB,$18.99,$18.99,06-10-2011,Ebury Publishing,128,https://www.booktopia.com.au/the-ancient-secret-of-the-fountain-of-youth-peter-kelder/ebook/9780753546413.html
9.78053E+12,There There,Tommy Orange,Hardcover,$51.75,$51.75,05-06-2018,KNOPF                         ,304,https://www.booktopia.com.au/there-there-tommy-orange/book/9780525520375.html
9.78141E+12,The Grey Ghost,Clive Cussler; Robin Burcell,ePUB,$15.99,$15.99,31-05-2018,Penguin Books Ltd,400,https://www.booktopia.com.au/the-grey-ghost-clive-cussler/ebook/9781405937085.html
9.78141E+12,Deep Black,Andy McNab,ePUB,$15.99,$15.99,02-10-2008,Transworld,512,https://www.booktopia.com.au/deep-black-andy-mcnab/ebook/9781407039206.html
9.78072E+12,The Marriage Pact,Michelle Richmond,ePUB,$15.99,$15.99,27-07-2017,Penguin Books Ltd,400,https://www.booktopia.com.au/the-marriage-pact-michelle-richmond/ebook/9780718186111.html
9.78024E+12,No Way Out,Cara Hunter,ePUB,$15.99,$15.99,22-03-2019,Penguin Books Ltd,384,https://www.booktopia.com.au/no-way-out-cara-hunter/ebook/9780241283523.html
9.78076E+12,The Family,Martina Cole,ePUB,$11.99,$11.99,14-10-2010,Headline,300,https://www.booktopia.com.au/the-family-martina-cole/ebook/9780755375523.html
9.78054E+12,Atelier Crenn,Dominique Crenn,ePUB,$72.59,$58.99,01-06-2018,Houghton Mifflin Harcourt,376,https://www.booktopia.com.au/atelier-crenn-dominique-crenn/ebook/9780544444683.html
9.78033E+12,Book Not Found,,,,,,,,
9.78014E+12,Book Not Found,,,,,,,,
